Year	Species	Area_of_leaf_blade_cm2	P/A	P_A*L	SLA_cm2/g	Seed_weight_g	height_m
2008	Achillea millefolium	9.370033333	7.625862115	1.547935759	115.5779025	0.0000625	0.9144
2008	Amorpha canescens	9.630133333	10.9203095	0.492759565	90.78938792	0.0023726	1.2192
2008	Agropyron repens	3.123133333	8.194893967	1.445975819	154.9558481	0.00182	0.79248
2008	Agropyron smithii	1.313266667	16.90121587	0.622391588	69.97630644	0.003333333	0.9144
2008	Andropogon gerardi	8.104366667	7.070340957	3.158165697	100.6045416	0.000925	2.4384
2008	Asclepias tuberosa	6.673888889	2.752107537	2.995940701	160.9413706	0.00717	0.6096
2008	Baptisia leucantha	13.33196667	2.118223517	3.439099504	107.1027548	0.0177601	1.8288
2008	Bouteloua curtipendula	3.743133333	18.30451264	1.484697073	75.48090755	0.0022178	0.762
2008	Bouteloua gracilis	0.4065	40.53563231	0.172439461	74.82292757	0.0015857	0.48768
2008	Crepis tectorum	0.2778	19.83567222	0.127682976	178.0705616	0.000171533	1.00584
2008	Elymus canadensis	11.72182057	3.87614951	75.16128824	168.5106362	0.0047	0.9144
2008	Koeleria cristata	0.726533333	41.02087959	0.31820969	35.70485863	0.0002972	0.4572
2008	Lespedeza capitata	7.2058	3.096927118	1.7270093	109.3157053	0.003	0.79248
2008	Liatris aspera	1.371366667	8.039686304	0.645116148	81.534942	0.0018	1.2192
2008	Linaria vulgaris	0.5919	15.67866357	0.275237575	282.1726872	0.00014	0.9144
2008	Lupinus perennis	20.0927	2.746273588	2.774920901	148.7253784	0.029089905	0.6
2008	Monarda fistulosa	9.833133333	1.785515034	3.470022008	150.1920737	0.0003	1.49352
2008	Panicum virgatum	7.796016667	7.208762326	3.07238967	110.7149871	0.0021782	1.8288
2008	Petalostemum candidum	1.489047619	12.19347344	0.315254377	68.03940943	0.00149208	0.5
2008	Petalostemum purpureum	0.439666667	19.14934871	0.090524033	103.7185604	0.001889968	0.9144
2008	Petalostemum villosa	1.863333333	20.63289685	0.128476892	72.00444565	0.0020832	0.6
2008	Poa pratensis	1.004518519	37.61160425	0.375920452	60.30456214	0.0002161	0.4572
2008	Quercus ellipsoidalis	60.8349	1.133257031	13.89329722	127.3248452	1.85139	21
2008	Quercus macrocarpa	47.81393333	1.010360831	13.47529212	104.8451029	6.572	30.48
2008	Rudbeckia serotina	3.713166667	3.395216814	1.639187999	127.615259	0.0003	0.9144
2008	Schizachyrium scoparium	2.0316	13.49459028	0.964009131	123.8710476	0.0014	0.9144
2008	Solidago nemoralis	5.445533333	4.01944766	2.501365243	122.6300086	0.0001	1.00584
2008	Solidago rigida	25.901	1.249482888	11.27718062	97.92309288	0.007268667	1
2008	Sorghastrum nutans	7.168	8.086917086	2.961299419	89.82187192	0.0012943	1.2192
2008	Stipa spartea	7.5623	13.79889286	1.867626257	76.1817727	0.021811367	1.2192
2008	Anemone cylindrica	13.65126667	4.204727935	1.82040348	203.1833254	0.0011	0.9144
2008	Astragalus canadensis	27.5486	2.554400585	5.954583993	133.5158165	0.001667619	1.00584
2008	Buchloe dactyloides	0.308466667	40.10164569	0.143706905	75.94690253	0.001352553	0.3048
2008	Coreopsis palmata	2.692733333	7.029096347	0.765592633	126.5814302	0.00199	0.9144
2008	Euphorbia pubentissima	4.031733333	2.543355529	1.772409198	201.2071789	0.003544	0.3
2008	Sporobolus cryptandrus	1.608533333	12.57099628	0.745468088	97.96470237	0.0001	0.9144
2008	Symphyotrichum oolentangiense	9.116	1.647034869	3.489714696	133.3544077	0.00017	1.2
2008	Vicia villosa	6.058866667	6.363108732	0.926505844	240.8315602	0.022222222	1.524
